,APELLIDOS Y NOMBRE,BANCADA,REGIÓN,SEDE,Nº CASO,ACTUALIZACIÓN,SITUACIÓN,DELITO
240,"MELÉNDEZ CELIS, FERNANDO",APP,Loreto,"Fiscalia Especializada En Materia Ambiental De Loreto
- Maynas (Ncpp)","02506015200-2016-
0001330000","May 24, 2017",FORMALIZA INVESTIGACION PREPARATORIA,RESPONSABILIDAD DE FUNCIONARIO PUBLICO POR OTORGAMIENTO ILEGAL DERECHOS - CULPOSO
241,"MELÉNDEZ CELIS, FERNANDO",APP,Loreto,08º Fiscalia Provincial Penal Corporativa De Maynas (Ncpp),"02506014508-2017-
0000500000","May 19, 2017",FORMALIZA INVESTIGACION PREPARATORIA,ABUSO DE AUTORIDAD (ACEPTAR NOMBRAMIENTO ILEGAL)
242,"VALDEZ FARÍAS, LUIS ALBERTO",APP,La Libertad,Fiscalia Provincial Mixta Corporativa De La Esperanza,"02306014503-2017-
0016680000","May 18, 2017",DENUNCIA PENDIENTE,USURPACION (AGENTE CON VIOLENCIA
243,"ACUÑA PERALTA, HUMBERTO",APP,Lambayeque,01º Fiscalia Provincial Penal Corporativa De Chiclayo,"02406074501-2012-
0033190000","May 18, 2017",CON ARCHIVO (PRELIMINAR),DELITO CONTRA LA ADMINISTRACION PUBLICA
244,"VALDEZ FARÍAS, LUIS ALBERTO",APP,La Libertad,01° Fiscalia Provincial Penal Corporativa De Trujillo,"02306014504-2014-
0000110000","May 17, 2017",CON PRINCIPIO OPORTUNIDAD (INTERMEDIA),CONTRA LA FE PUBLICA (FALSIFICACION DOCUMENTARIA)
245,"PUÑO LECARNAQUE, NAPOLEÓN",APP,Tumbes,Fiscalia Provincial Corp. Especializada En Delitos De Corrupcion De Funcionarios De Tumbes(Ncpp),"03506015500-2015-
0000110000","May 17, 2017",CON ACUSACION,CONCUSION (COLUSION ILEGAL)
246,"ALARCÓN TEJADA, EDGAR ARNOLD",UPP,Arequipa,42º Fiscalia Provincial En Lo Penal De Lima,"00506010142-2017-
0002430000","May 16, 2017",INVESTIGACION FISCAL,EXPOSICION A PERSONA EN PELIGRO (EXPOSICION A PELIGRO DE MUERTE O GRAVE DAÑO A LA SALUD
247,"MESÍA RAMIREZ, CARLOS FERNANDO",Fuerza Popular,Lima,41º Fiscalia Provincial En Lo Penal De Lima,"00506010141-2017-
0003710000","May 15, 2017",INVESTIGACION POLICIAL,CONTRA LA FUNCION JURISDICCIONAL (FRAUDE PROCESAL)
248,"PÉREZ MIMBELA, JHOSEPT AMADO",APP,Ancash,02º Fiscalia Provincial Penal Corporativa De Casma (Ncpp),"03106024502-2016-
0004050000","May 15, 2017",DERIVADO (PRELIMINAR),ABUSO DE AUTORIDAD
249,"ALIAGA PAJARES, GUILLERMO ALEJANDRO ANTONIO",Somos Perú,Lima,Fiscalia Provincial Especializada En Materia Ambiental - Sede Huari,"01306095200-2017-
0000630000","May 15, 2017",EN INVESTIGACION PREVENTIVA,CONTAMINACION (DELITO DE MINERIA ILEGAL)
250,"ALIAGA PAJARES, GUILLERMO ALEJANDRO ANTONIO",Somos Perú,Lima,Fiscalia Provincial Especializada En Materia Ambiental - Sede Huari,"01306095200-2017-
0000640000","May 15, 2017",EN INVESTIGACION PREVENTIVA,CONTAMINACION (DELITO DE MINERIA ILEGAL)
251,"ACATE CORONEL, EDUARDO GEOVANNI",APP,Loreto,Fiscalia Provincial Corporativa Especializada En Delitos De Corrupcion De Funcionarios-Loreto,"02506015500-2016-
0000270000","May 15, 2017",CON ARCHIVO (PRELIMINAR),CONCUSION (COLUSION SIMPLE)
252,"ALIAGA PAJARES, GUILLERMO ALEJANDRO ANTONIO",Somos Perú,Lima,Fiscalia Provincial Especializada En Materia Ambiental - Sede Huari,"01306095200-2017-
0000650000","May 15, 2017",EN INVESTIGACION PREVENTIVA,CONTAMINACION (DELITO DE MINERIA ILEGAL)
253,"ALARCÓN TEJADA, EDGAR ARNOLD",UPP,Arequipa,05º Fiscalia Provincial En Lo Penal De Lima,"00506010105-2017-
0003840000","May 12, 2017",DENUNCIA PENDIENTE,ABUSO DE AUTORIDAD
254,"ALIAGA PAJARES, GUILLERMO ALEJANDRO ANTONIO",Somos Perú,Lima,Fiscalia Provincial Especializada En Prevencion Del Delito De Ancash,"01306014900-2017-
0002590000","May 11, 2017",DERIVADO PENAL,CONTRA LOS RECURSOS NATURALES Y MEDIO AMBIENTE (COMERCALMACENDESECHOS)
255,"BENAVIDES GAVIDIA, WALTER",APP,Cajamarca,Fiscalia Provincial Espec. En Delitos De Corrupcion De Funcionarios-Cajamarca,"01706045500-2017-
0001080000","May 8, 2017",DERIVADO (CALIFICA),PECULADO (APROPIACION O UTILIZACION CULPOSA DE CAUDALES DESTINADOS A ASISTENCIA SOCIAL)
256,"ALIAGA PAJARES, GUILLERMO ALEJANDRO ANTONIO",Somos Perú,Lima,Fiscalia Provincial Penal De Recuay,"01306154500-2017-
0001490000","May 6, 2017",CON ARCHIVO (CALIFICA),VIOLENCIA Y RESISTENCIA A LA AUTORIDAD (DESOBYRESISTAORDENOFICIAL)
257,"SANTILLANA PAREDES, ROBERTINA",APP,San Martín,01º Fiscalia Provincial Penal Corporativa De Leoncio Prado (Ncpp),"02006064501-2016-
0011180000","May 4, 2017",CON ARCHIVO (PRELIMINAR),ESTAFA Y OTRAS DEFRAUDACIONES
258,"VALDEZ FARÍAS, LUIS ALBERTO",APP,La Libertad,03° Fiscalia Provincial Penal Corporativa De Trujillo,"02306014504-2016-
0027380000","May 3, 2017",CON ARCHIVO (PRELIMINAR),ABUSO DE AUTORIDAD
259,"VALDEZ FARÍAS, LUIS ALBERTO",APP,La Libertad,02° Fiscalia Provincial Penal Corporativa De Trujillo,"02306014502-2017-
0023500000","May 2, 2017",CON INVESTIGACION PRELIMINAR,EXPOSICION A PERSONA EN PELIGRO (EXPONE A PELIGRO VIDA O SALUD DE PERSONA BAJO SU AUTORIDAD
260,"TITO ORTEGA, ERWIN",Fuerza Popular,Junín,02 º Fiscalia Provincial En Lo Penal Del Callao,"00906010113-2015-
0000880000","May 2, 2017",CON DICTAMEN,CONTRA LA FE PUBLICA (FALSIFICACION DOCUMENTARIA)
261,"CONTRERAS BAUTISTA, CINDY ARLETTE",No agrupado,Lima,04° Fiscalía Superior Penal De Ayacucho(Ncpp),"01606014502-2016-
0001240002","Apr 27, 2017",AUDIENCIA DE APELACION,CONTRA LA FE PUBLICA (DOCUMENTO PUBLICO REGISTRO PUBLICO TITULO AUTENTICO O CUALQUIER OTRO TRANSMISIBLE POR E
262,"GONZALES TUANAMA, CÉSAR",Somos Perú,Ucayali,04º Fiscalia Provincial Penal Corporativa De Coronel Portillo(Ncpp),"03006014504-2017-
0006920000","Apr 26, 2017",CON INVESTIGACION PRELIMINAR,OMISION DE ASISTENCIA FAMILIAR (INCUMPLIMOBLIGALIMENTARIA)
263,"ACUÑA PERALTA, HUMBERTO",APP,Lambayeque,Fiscalia Provincial Corp. Especializada En Delitos De Corrupcion De Funcionarios De Lambayeque(Ncpp),"02406075500-2017-
0001270000","Apr 26, 2017",CON ARCHIVO (CALIFICA),DELITO CONTRA LA ADMINISTRACION PUBLICA
264,"MELÉNDEZ CELIS, FERNANDO",APP,Loreto,05º Fiscalia Provincial Penal Corporativa De Maynas (Ncpp),"02506014505-2017-
0006140000","Apr 25, 2017",CON INVESTIGACION PRELIMINAR,VIOLENCIA Y RESISTENCIA A LA AUTORIDAD (OCULTAMIENTO DE PRUEBAS)
265,"ACUÑA PERALTA, HUMBERTO",APP,Lambayeque,02º Fiscalia Provincial Penal Corporativa De Jose L. Ortiz,"02406084502-2017-
0005050000","Apr 24, 2017",CON INVESTIGACION PRELIMINAR,OMISION ACTOS FUNCIONALES-1ERPARRAFO - FUNCIONARIO PUBLICO QUE
266,"PANTOJA CALVO, RUBEN",UPP,Cusco,Fiscalia Provincial Corporativa Especializada En Delitos De Corrupcion De Funcionarios De Cusco,"01806115500-2017-
0001000000","Apr 24, 2017",DENUNCIA PENDIENTE,CONCUSION (COLUSION CON DEFRAUDACION PATRIMONIAL AL ESTADO)
267,"MELÉNDEZ CELIS, FERNANDO",APP,Loreto,05º Fiscalia Provincial Penal Corporativa De Maynas (Ncpp),"02506014505-2017-
0000030000","Apr 24, 2017",CON INVESTIGACION PRELIMINAR,VIOLENCIA Y RESISTENCIA A LA AUTORIDAD (RESISTENCIA O DESOBEDIENCIA A LA AUTORIDAD)
268,"CHAIÑA CONTRERAS, HIPÓLITO",UPP,Arequipa,03° Fiscalia Provincial Penal Corporativa De  Arequipa,"01506014503-2016-
0059030000","Apr 21, 2017",CON ARCHIVO (PRELIMINAR),USURPACION
269,"MELÉNDEZ CELIS, FERNANDO",APP,Loreto,05º Fiscalia Provincial Penal Corporativa De Maynas (Ncpp),"02506014505-2017-
0006660000","Apr 21, 2017",CON INVESTIGACION PRELIMINAR,PECULADO (DEMORA INDEBIDA DE PAGOS)
270,"MELÉNDEZ CELIS, FERNANDO",APP,Loreto,Fiscalia Superior Especializada En Delitos De Corrupcion De Funcionarios De Loreto,"02506015500-2017-
0000810001","Apr 18, 2017",RESUELVE EXCLUSION FISCAL,CONCUSION (COLUSION SIMPLE)
271,"MELÉNDEZ CELIS, FERNANDO",APP,Loreto,01º Fiscalia Provincial De Prevencion Del Delito De Loreto (Ncpp),"02506014901-2017-
0000580000","Apr 18, 2017",DERIVADO PENAL,CONTRA LA VIDA/EL CUERPO Y LA SALUD
272,"VALDEZ FARÍAS, LUIS ALBERTO",APP,La Libertad,Fiscalia Provincial Corporativa Especializada En Delitos De Corrupcion De Funcionarios - La Libertad,"02306015500-2016-
0001350000","Apr 17, 2017",FORMALIZA INVESTIGACION PREPARATORIA,DELITO CONTRA LA ADMINISTRACION PUBLICA
273,"VALDEZ FARÍAS, LUIS ALBERTO",APP,La Libertad,01º Fiscalia Superior Penal De La Libertad,"02306014504-2016-
0002720001","Apr 12, 2017",RESUELVE EXCLUSION FISCAL,ABUSO DE AUTORIDAD
274,"VALDEZ FARÍAS, LUIS ALBERTO",APP,La Libertad,03° Fiscalia Provincial Penal Corporativa De Trujillo,"02306014504-2015-
0058870000","Apr 12, 2017",CON ARCHIVO (PRELIMINAR),ABUSO DE AUTORIDAD
275,"BENAVIDES GAVIDIA, WALTER",APP,Cajamarca,01º Fiscalía Provincial Penal Corporativa De Cutervo,"02406024501-2014-
0004480000","Apr 12, 2017",EN AUDIENCIA,CONCUSION (COLUSION ILEGAL)
276,"URRESTI ELERA, DANIEL BELIZARIO",Podemos,Lima,2º Fiscalía Provincial Penal Corporativa De Tambopata,"03606014502-2015-
0000720000","Apr 6, 2017",CON INVESTIGACION PRELIMINAR,FRAUDE EN LA ADMINISTRACION DE PERSONA JURIDICA (OCULTVERDADERASITUACION)
277,"ACUÑA PERALTA, HUMBERTO",APP,Lambayeque,02º Fiscalia Provincial Penal Corporativa De Chiclayo,"02406074502-2010-
0020600000","Apr 6, 2017",CON SENTENCIA,CONTRA EL PATRIMONIO
278,"VALDEZ FARÍAS, LUIS ALBERTO",APP,La Libertad,03° Fiscalia Provincial Penal Corporativa De Trujillo,"02306014504-2016-
0051110000","Apr 4, 2017",FORMALIZA INVESTIGACION PREPARATORIA,ABUSO DE AUTORIDAD
279,"MELÉNDEZ CELIS, FERNANDO",APP,Loreto,Fiscalia Provincial Corporativa Especializada En Delitos De Corrupcion De Funcionarios-Loreto,"02506015500-2017-
0000920000","Apr 3, 2017",CON INVESTIGACION PRELIMINAR,PECULADO - MALVERSACION (SI EL DINERO O BIENES CORRESPONDEN A PROGRAMAS DE APOYO SOCIAL)
280,"VÁSQUEZ TAN, GRIMALDO",Somos Perú,Amazonas,Fiscalia Provincial Penal Especializada En Materia Ambiental- Chachapoyas(Ncpp),"01206015200-2013-
0001850000","Mar 29, 2017",CON SENTENCIA,CONTAMINACION DEL AMBIENTE
281,"MELÉNDEZ CELIS, FERNANDO",APP,Loreto,04º Fiscalia Superior Penal De Loreto (Ncpp),"02506014504-2016-
0003420002","Mar 29, 2017",RESUELVE EXCLUSION FISCAL,ABUSO DE AUTORIDAD
282,"MELÉNDEZ CELIS, FERNANDO",APP,Loreto,Fiscalia Provincial Corporativa Especializada En Delitos De Corrupcion De Funcionarios-Loreto,"02506015500-2017-
0000810000","Mar 28, 2017",CON INVESTIGACION PRELIMINAR,CORRUPCION DE FUNCIONARIOS (NEGOCIACION INCOMPATIBLE O APROVECHAMIENTO INDEBIDO DE CARGO)
283,"ACUÑA PERALTA, HUMBERTO",APP,Lambayeque,01º Fiscalia Provincial Penal Corporativa De Lambayeque,"02406054501-2015-
0006270000","Mar 27, 2017",CON INVESTIGACION PRELIMINAR,ABUSO DE AUTORIDAD
284,"ACUÑA PERALTA, HUMBERTO",APP,Lambayeque,02º Fiscalia Provincial Penal Corporativa De Chiclayo,"02406074502-2014-
0021090000","Mar 23, 2017",CON ARCHIVO (PRELIMINAR),CONTRA LA PAZ PUBLICA (ASOCIACION ILICITA)
285,"ACUÑA PERALTA, HUMBERTO",APP,Lambayeque,Fiscalia Corporativa De Prevencion Del Delito De Lambayeque,"02406074504-2017-
0000620000","Mar 23, 2017",CON ARCHIVO DEFINITIVO (INV. PREVEN.),CONTRA LA TRANQUILIDAD PUBLICA
286,"GONZALEZ CRUZ, MOISES",APP,Cajamarca,Fiscalia Provincial Corp. Especializada En Delitos De Corrupcion De Funcionarios De Lambayeque(Ncpp),"02406075500-2015-
0002820002","Mar 16, 2017",CON ARCHIVO (PRELIMINAR),DELITO CONTRA LA ADMINISTRACION PUBLICA
287,"GONZALEZ CRUZ, MOISES",APP,Cajamarca,Fiscalia Provincial Corp. Especializada En Delitos De Corrupcion De Funcionarios De Lambayeque(Ncpp),"02406075500-2016-
0001580000","Mar 14, 2017",CON RESERVA PROVISIONAL (PRELIMINAR),DELITO CONTRA LA ADMINISTRACION PUBLICA
288,"GONZALEZ CRUZ, MOISES",APP,Cajamarca,Fiscalia Provincial Corp. Especializada En Delitos De Corrupcion De Funcionarios De Lambayeque(Ncpp),"02406075500-2016-
0001570000","Mar 14, 2017",CON RESERVA PROVISIONAL (PRELIMINAR),DELITO CONTRA LA ADMINISTRACION PUBLICA
289,"GONZALEZ CRUZ, MOISES",APP,Cajamarca,Fiscalia Provincial Corp. Especializada En Delitos De Corrupcion De Funcionarios De Lambayeque(Ncpp),"02406075500-2016-
0001630000","Mar 14, 2017",CON RESERVA PROVISIONAL (PRELIMINAR),DELITO CONTRA LA ADMINISTRACION PUBLICA
290,"GONZALEZ CRUZ, MOISES",APP,Cajamarca,Fiscalia Provincial Corp. Especializada En Delitos De Corrupcion De Funcionarios De Lambayeque(Ncpp),"02406075500-2016-
0001590000","Mar 14, 2017",CON RESERVA PROVISIONAL (PRELIMINAR),DELITO CONTRA LA ADMINISTRACION PUBLICA
291,"GONZALEZ CRUZ, MOISES",APP,Cajamarca,Fiscalia Provincial Corp. Especializada En Delitos De Corrupcion De Funcionarios De Lambayeque(Ncpp),"02406075500-2015-
0002820001","Mar 10, 2017",CON ARCHIVO (CALIFICA),DELITO CONTRA LA ADMINISTRACION PUBLICA
292,"MELÉNDEZ CELIS, FERNANDO",APP,Loreto,"Fiscalia Especializada En Materia Ambiental De Loreto
- Maynas (Ncpp)","02506015200-2017-
0000060000","Mar 10, 2017",CON RESERVA PROVISIONAL (PRELIMINAR),RESPONSABILIDAD DE FUNCIONARIO PUBLICO POR OTORGAMIENTO ILEGAL DERECHOS - CULPOSO
293,"PÉREZ MIMBELA, JHOSEPT AMADO",APP,Ancash,01º Fiscalia Provincial Penal Corporativa De Casma (Ncpp),"03106024501-2015-
0002510000","Mar 8, 2017",CON ARCHIVO (PRELIMINAR),CONTRA LA FUNCION JURISDICCIONAL (OMISION DE DENUNCIA)
294,"VALDEZ FARÍAS, LUIS ALBERTO",APP,La Libertad,Fiscalia Provincial Corporativa Especializada En Delitos De Corrupcion De Funcionarios - La Libertad,"02306015500-2016-
0002680000","Mar 7, 2017",CON ARCHIVO (PRELIMINAR),DELITOS COMETIDOS POR FUNCIONARIOS PUBLICOS
295,"DIOSES GUZMÁN, LUIS REYMUNDO",Somos Perú,Piura,01º Fiscalia Provincial Penal Corporativa De Piura,"02606064501-2017-
0004470000","Mar 6, 2017",DERIVADO (CALIFICA),ABUSO DE AUTORIDAD
296,"TITO ORTEGA, ERWIN",Fuerza Popular,Junín,04º Fiscalía Provincial Penal Corporativa De Huancayo(Ncpp),"02206014504-2015-
0005940000","Mar 6, 2017",CON ACUSACION,HOMICIDIO CULPOSO (INOBSERVANCIA A LAS REGLAS DE PROFESION
297,"ACUÑA PERALTA, HUMBERTO",APP,Lambayeque,02º Fiscalia Provincial Penal Corporativa De Chiclayo,"02406074502-2017-
0008160000","Mar 3, 2017",CON INVESTIGACION PRELIMINAR,"CONTRA LA PROPIEDAD INDUSTRIAL (ALMACENAMIENTO, FABRICACION, UTILIZ CON FIN COMERC, OFERT Y DISTRIB VENTA IMP O EXP EN TODO O PARTE OBTENCION)"
298,"RIVERA GUERRA, WALTER JESÚS",Acción Popular,Lima,Fiscalia Provincial Civil Y Familia De Chosica,"00506010755-2016-
0002840000","Feb 28, 2017",ARCHIVO DEFINITIVO,CONTRAVENCION
299,"BARRIONUEVO ROMERO, BETTO",Somos Perú,Ancash,Fiscalia Provincial Especializada En Prevencion Del Delito De Ancash (Ncpp),"01306014900-2016-
0006070000","Feb 23, 2017",DERIVADO PENAL,USURPACION
300,"BENAVIDES GAVIDIA, WALTER",APP,Cajamarca,Fiscalia Superior Mixta De Jaen,"02406024501-2014-
0004480001","Feb 23, 2017",CONSULTA RESUELTA,CONCUSION (COLUSION ILEGAL)
301,"MELÉNDEZ CELIS, FERNANDO",APP,Loreto,02º Fiscalia Provincial Penal Corporativa De Maynas (Ncpp),"02506014502-2016-
0011920000","Feb 17, 2017",CON INVESTIGACION PRELIMINAR,USURPACION
302,"ACUÑA PERALTA, HUMBERTO",APP,Lambayeque,03º Fiscalia Provincial Penal Corporativa De Chiclayo,"02406074503-2016-
0050080000","Feb 13, 2017",CON ARCHIVO (CALIFICA),OMISION ACTOS FUNCIONALES-1ERPARRAFO - FUNCIONARIO PUBLICO QUE
303,"MELÉNDEZ CELIS, FERNANDO",APP,Loreto,04º Fiscalia Superior Penal De Loreto (Ncpp),"02506014504-2016-
0003420001","Feb 8, 2017",CONSULTA RESUELTA,ABUSO DE AUTORIDAD
304,"ACUÑA PERALTA, HUMBERTO",APP,Lambayeque,02º Fiscalia Provincial Penal Corporativa De Chiclayo,"02406074502-2014-
0018170000","Feb 8, 2017",FORMALIZA INVESTIGACION PREPARATORIA,CONTRA LA PAZ PUBLICA (ASOCIACION ILICITA)
305,"LUNA MORALES, JOSÉ LUIS",Podemos,Lima,55ºfiscalia Provincial En Lo Penal De Lima,"00506010155-2017-
0000430000","Jan 31, 2017",INVESTIGACION POLICIAL,APROPIACION ILICITA COMUN
306,"VALDEZ FARÍAS, LUIS ALBERTO",APP,La Libertad,01° Fiscalia Provincial Penal Corporativa De Trujillo,"02306014501-2016-
0029920002","Jan 30, 2017",DERIVADO (PRELIMINAR),ELABORACION Y COMERCIO CLANDESTINO DE PRODUCTOS
307,"VALDEZ FARÍAS, LUIS ALBERTO",APP,La Libertad,01° Fiscalia Provincial Penal Corporativa De Trujillo,"02306014501-2016-
0029920001","Jan 30, 2017",DERIVADO (PRELIMINAR),ELABORACION Y COMERCIO CLANDESTINO DE PRODUCTOS
308,"VALDEZ FARÍAS, LUIS ALBERTO",APP,La Libertad,01° Fiscalia Provincial Penal Corporativa De Trujillo,"02306014501-2016-
0029920000","Jan 30, 2017",DERIVADO (PRELIMINAR),ELABORACION Y COMERCIO CLANDESTINO DE PRODUCTOS
309,"ACUÑA PERALTA, HUMBERTO",APP,Lambayeque,Fiscalia Provincial Corp. Especializada En Delitos De Corrupcion De Funcionarios De Lambayeque,"02406075500-2015-
0000250000","Jan 25, 2017",CON ACUSACION,DELITO CONTRA LA ADMINISTRACION PUBLICA
310,"RODAS MALCA, TANIA ROSALIA",APP,La Libertad,03º Fiscalia Superior Penal De La Libertad,"02306014502-2010-
0037240003","Jan 24, 2017",AUDIENCIA DE APELACION,LESIONES (CULPOSAS)
311,"MELÉNDEZ CELIS, FERNANDO",APP,Loreto,04º Fiscalia Provincial Penal Corporativa De Maynas (Ncpp),"02506014504-2016-
0003420000","Jan 24, 2017",DENUNCIA PENDIENTE,ABUSO DE AUTORIDAD
312,"ESPINOZA ROSALES, RENNÁN SAMUEL",No agrupado,Lima,03ºfiscalia Provincial Mixta De Puente Piedra,"00606020616-2016-
0012580000","Jan 20, 2017",INVESTIGACION POLICIAL,CONTRA LA PAZ PUBLICA (ASOCIACION ILICITA)
313,"NÚÑEZ SALAS, JOSÉ ANTONIO",Morado,Arequipa,Fiscalia Provincial Penal Corporativa De Tacna,"02906014500-2016-
0054790000","Jan 20, 2017",CON ARCHIVO (PRELIMINAR),FALSIFICACION DE DOCUMENTOS EN GENERAL
314,"RODAS MALCA, TANIA ROSALIA",APP,La Libertad,03º Fiscalia Superior Penal De La Libertad,"02306014502-2010-
0037240002","Jan 17, 2017",AUDIENCIA DE APELACION,LESIONES (CULPOSAS)
315,"VALDEZ FARÍAS, LUIS ALBERTO",APP,La Libertad,01° Fiscalia Provincial Penal Corporativa De Trujillo,"02306014501-2016-
0059810000","Jan 17, 2017",DERIVADO (PRELIMINAR),DEFRAUDACION (SE VENDE O GRAVA)
316,"PANTOJA CALVO, RUBEN",UPP,Cusco,Fiscalia Provincial Corporativa Especializada En Delitos De Corrupcion De Funcionarios-Abancay,"01406015500-2011-
0003290005","Jan 16, 2017",CON SOBRESEIMIENTO (JUZGAMIENTO),PECULADO (APROPOUTILIZACDECAUDALES)
317,"PANTOJA CALVO, RUBEN",UPP,Cusco,Fiscalia Provincial Corporativa Especializada En Delitos De Corrupcion De Funcionarios-Abancay,"01406015500-2011-
0003290000","Jan 16, 2017",CON SENTENCIA,PECULADO (APROPOUTILIZACDECAUDALES)
318,"MELÉNDEZ CELIS, FERNANDO",APP,Loreto,06º Fiscalia Provincial Penal Corporativa De Maynas (Ncpp),"02506014506-2015-
0002870000","Jan 14, 2017",DERIVADO (PREPARATORIA),VIOLENCIA Y RESISTENCIA A LA AUTORIDAD (DESOBYRESISTAORDENOFICIAL)
319,"GONZALEZ CRUZ, MOISES",APP,Cajamarca,Fiscalia Provincial Corp. Especializada En Delitos De Corrupcion De Funcionarios De Lambayeque(Ncpp),"02406075500-2016-
0001560000","Jan 14, 2017",CON RESERVA PROVISIONAL (PRELIMINAR),DELITO CONTRA LA ADMINISTRACION PUBLICA
320,"GONZALEZ CRUZ, MOISES",APP,Cajamarca,Fiscalia Provincial Corp. Especializada En Delitos De Corrupcion De Funcionarios De Lambayeque(Ncpp),"02406075500-2016-
0001680000","Jan 10, 2017",CON RESERVA PROVISIONAL (PRELIMINAR),DELITO CONTRA LA ADMINISTRACION PUBLICA
321,"PÉREZ MIMBELA, JHOSEPT AMADO",APP,Ancash,Fiscalia Provincial Especializada En Materia Ambiental Del Santa (Ncpp),"03106015200-2017-
0000040000","Jan 9, 2017",EN INVESTIGACION PREVENTIVA,CONTRA LOS RECURSOS NATURALES Y MEDIO AMBIENTE (PELIGSALUDPERSOBIENES)
322,"MELÉNDEZ CELIS, FERNANDO",APP,Loreto,04º Fiscalia Provincial Penal Corporativa De Maynas (Ncpp),"02506014504-2016-
0010570000","Jan 5, 2017",CON ARCHIVO (PRELIMINAR),ABUSO DE AUTORIDAD
323,"MELÉNDEZ CELIS, FERNANDO",APP,Loreto,Fiscalia Provincial Corporativa Especializada En Delitos De Corrupcion De Funcionarios-Loreto,"02506015500-2016-
0002520000","Jan 4, 2017",DERIVADO (CALIFICA),ABUSO DE AUTORIDAD (ACEPTAR NOMBRAMIENTO ILEGAL)
324,"NÚÑEZ SALAS, JOSÉ ANTONIO",Morado,Arequipa,Fiscalia Provincial Penal Corporativa De Tacna,"02906014500-2016-
0060970000","Jan 4, 2017",CON INVESTIGACION PRELIMINAR,FALSIFICACION DE DOCUMENTOS EN GENERAL
325,"MELÉNDEZ CELIS, FERNANDO",APP,Loreto,Fiscalia Provincial Corporativa Especializada En Delitos De Corrupcion De Funcionarios-Loreto,"02506015500-2016-
0000620000","Dec 22, 2016",CON ARCHIVO (PRELIMINAR),PECULADO (DE USO)
326,"PANTOJA CALVO, RUBEN",UPP,Cusco,Fiscalia Provincial Corporativa Especializada En Delitos De Corrupcion De Funcionarios De Cusco,"01806115500-2016-
0001900000","Dec 22, 2016",CON INVESTIGACION PRELIMINAR,PECULADO (DE USO)
327,"GONZALES TUANAMA, CÉSAR",Somos Perú,Ucayali,03º Fiscalia Provincial Penal Corporativa De Coronel Portillo(Ncpp),"03006014503-2015-
0014490000","Dec 20, 2016",CON SOBRESEIMIENTO,RECEPTACION AGRAVADA (COMERCBIENESTAD)
328,"ALIAGA PAJARES, GUILLERMO ALEJANDRO ANTONIO",Somos Perú,Lima,Fiscalia Provincial Especializada En Materia Ambiental - Sede Huari,"01306095200-2016-
0002030000","Dec 20, 2016",EN INVESTIGACION PREVENTIVA,CONTRA LOS RECURSOS NATURALES Y MEDIO AMBIENTE (SUSPENSACTIVCONTAMINANTE)
329,"MELÉNDEZ CELIS, FERNANDO",APP,Loreto,07º Fiscalia Provincial Penal Corporativa De Maynas (Ncpp),"02506014507-2016-
0016380000","Dec 19, 2016",CON INVESTIGACION PRELIMINAR,ABUSO DE AUTORIDAD
330,"DIOSES GUZMÁN, LUIS REYMUNDO",Somos Perú,Piura,01º Fiscalia Provincial Penal Corporativa De Paita,"02606054501-2016-
0005200000","Dec 12, 2016",CON INVESTIGACION PRELIMINAR,"USURPACION DE AUTORIDAD, TITULOS Y HONORES (USURPACION DE FUNCION PUBLICA O DE AUTORIDAD MILITAR O POLICIAL AGRAVADA POR RESISTENCI…"
331,"PÉREZ OCHOA, CARLOS ANDRÉS",Acción Popular,Lima Provincias,Fiscalia Provincial Corporativa Especializada En Delitos De Corrupcion De Funcionarios-Santa,"03106015500-2016-
0002360000","Dec 9, 2016",CON INVESTIGACION PRELIMINAR,DELITOS COMETIDOS POR FUNCIONARIOS PUBLICOS
332,"ACUÑA PERALTA, HUMBERTO",APP,Lambayeque,02º Fiscalia Provincial Penal Corporativa De Chiclayo,"02406074502-2016-
0061120000","Dec 7, 2016",CON INVESTIGACION PRELIMINAR,OMISION ACTOS FUNCIONALES-1ERPARRAFO - FUNCIONARIO PUBLICO QUE
333,"SIMEÓN HURTADO, LUIS CARLOS",Acción Popular,Pasco,51°Fiscalia Provincial En Lo Penal De Lima,"00506010151-2013-
0004050000","Nov 16, 2016",ARCHIVO DEFINITIVO,COACCION
334,"VÁSQUEZ TAN, GRIMALDO",Somos Perú,Amazonas,Fiscalia Provincial Penal Especializada En Materia Ambiental- Chachapoyas(Ncpp),"01206015200-2015-
0002000000","Nov 14, 2016",CON ACUSACION,CONTRA LOS RECURSOS NATURALES (SIN CONTAR CON PERMISO
335,"PUÑO LECARNAQUE, NAPOLEÓN",APP,Tumbes,01º Fiscalia Provincial Penal Corporativa De Tumbes,"03506014501-2016-
0019030000","Nov 11, 2016",ASIGNADO PNP (PRELIMINAR),"USURPACION DE AUTORIDAD, TITULOS Y HONORES (USURPACION DE FUNCION PUBLICA O DE AUTORIDAD MILITAR O POLICIAL AGRAVADA POR RESISTENCI"
